"","State","Date","Deaths","Confirmed","Recovered","Active","Population","Deaths.per.capita","Confirmed.per.capita","Active.per.capita","Name"
"120","Alabama",2020-05-19,504,12376,0,11872,4903185,0.0001027903291432,0.00252407363784968,0.00242128330870648,"Alabama"
"121","Alabama",2020-04-26,219,6421,0,6202,4903185,4.46648454015094e-05,0.001309556951247,0.00126489210584549,"Alabama"
"122","Alabama",2020-07-02,985,40111,0,39126,4903185,0.000200889829773912,0.00818060097671208,0.00797971114693816,"Alabama"
"123","Alabama",2020-04-03,38,1495,0,1457,4903185,7.75006449889205e-06,0.000304903853311674,0.000297153788812782,"Alabama"
"124","Alabama",2020-04-10,80,2947,0,2867,4903185,1.63159252608254e-05,0.000601037896795654,0.000584721971534829,"Alabama"
"125","Alabama",2020-05-17,488,11771,0,11283,4903185,9.95271440910347e-05,0.00240068445306469,0.00230115730897366,"Alabama"
"126","Alabama",2020-04-17,148,4571,0,4423,4903185,3.01844617325269e-05,0.000932251179590409,0.000902066717857882,"Alabama"
"127","Alabama",2020-04-24,209,6026,0,5817,4903185,4.26253547439063e-05,0.00122899707027167,0.00118637171552776,"Alabama"
"128","Alabama",2020-04-01,27,1060,0,1033,4903185,5.50662477552856e-06,0.000216186009705936,0.000210679384930407,"Alabama"
"129","Alabama",2020-06-07,692,20500,0,19808,4903185,0.000141132753506139,0.0041809558480865,0.00403982309458036,"Alabama"
"130","Alabama",2020-05-15,483,11373,0,10890,4903185,9.85073987622331e-05,0.00231951272489209,0.00222100532612985,"Alabama"
"131","Alaska",2020-03-20,0,12,0,12,731545,0,1.64036388738902e-05,1.64036388738902e-05,"Alaska"
"132","Alaska",2020-04-24,9,339,0,330,731545,1.23027291554176e-05,0.000463402798187398,0.00045110006903198,"Alaska"
"133","Alaska",2020-03-24,0,34,0,34,731545,0,4.64769768093555e-05,4.64769768093555e-05,"Alaska"
"134","Alaska",2020-04-27,9,345,0,336,731545,1.23027291554176e-05,0.000471604617624343,0.000459301888468925,"Alaska"
